PPO before,AC before,random,PPO after,AC after,baseline
-553.4970009326935,-108.00848841667175,-627.0,1797.5531704425812,1638.5755303502083,-117.32676124572754
-600.0,-283.00848841667175,-537.2056213617325,-103.01011854410172,1397.6455578804016,1459.959757745266
-39.956543028354645,-431.50548934936523,-142.0,-260.98478323221207,1465.2787891626358,2099.0203545689583
-100.0,-388.2056213617325,-600.0,3627.1990540623665,1464.4934195280075,-103.68960535526276
-100.0,-141.06288623809814,-537.2056213617325,3907.3098475933075,1884.7084208726883,2384.4633459448814
-119.69622296094894,-600.0,-108.00848841667175,3809.8409208655357,2450.0496415495872,1621.0503850579262
-100.0,-156.0,-123.00848841667175,4993.749641120434,1701.6141642928123,-101.97540748119354
-268.2056213617325,-600.0,-152.50548934936523,2386.598872900009,2235.459673345089,-101.97540748119354
-100.0,-115.32676124572754,-100.0,3771.5030528903008,-109.92639738321304,2853.0852920413017
-222.0,-172.1845818758011,-300.0,4413.065234184265,2018.3826459050179,2279.941946744919
-100.0,-100.0,-510.0,4213.841329932213,1463.4602113962173,2021.7417975664139
-140.0,-300.0,-220.76871359348297,3231.7706682682037,1000.2882232666016,2626.4014125466347
-300.0,-600.0,-65.6805095076561,-103.42765820026398,1100.281479716301,3136.077680647373
-558.4970009326935,-100.0,-111.07334554195404,3915.4354426264763,2557.224549472332,2831.6039150357246
-100.0,-100.0,-136.07334554195404,3244.3529735803604,1955.929089486599,2644.8371101021767
-327.0,-600.0,-125.20562136173248,3584.0241777300835,2179.6964366436005,2319.586520910263
-100.0,-576.6987746953964,-665.0,3266.517476975918,2149.8532178401947,2423.5737718343735
-127.85346210002899,-600.0,-100.0,3116.1191971302032,1429.7443760037422,1790.8903084993362
-300.0,-365.0,-100.0,4296.019631385803,1845.5620037913322,-125.73955982923508
-72.5716609954834,-128.49700093269348,-100.0,4103.049641013145,2377.204219698906,-101.97540748119354
-165.0,-600.0,-300.0,3122.294785261154,1931.9504913687706,1059.644168972969
-103.49700093269348,-600.0,-100.0,3363.70488935709,1638.5337341427803,2660.429619848728
-300.0,-100.0,-108.15249013900757,4554.538980126381,955.4057292342186,2302.439054608345
-100.0,-127.62542915344238,-237.20562136173248,3091.480859398842,2019.3769776821136,2221.804209113121
-105.0,-105.8895788192749,-300.0,3463.4103186130524,2246.806031167507,2583.6604567170143
-100.0,-633.0084884166718,-157.0,2454.4575964212418,1280.442652106285,2341.329094648361
-100.0,-200.0,-100.0,2036.8266342282295,1386.4386247992516,1916.5418160557747
-100.0,-275.39340138435364,-340.0,-122.79552179574966,1851.8734052181244,2521.5582785606384
-114.62542915344238,-100.0,-100.0,2519.626072347164,1205.8931084275246,-102.24709409475327
-17.898231983184814,-108.56309223175049,-315.0,3632.147241771221,2340.579090297222,2014.645739853382
-600.0,-510.0,-135.0,2797.5959683060646,1233.790716767311,-109.0
-300.0,-333.00848841667175,-112.49700093269348,3260.268520772457,1260.2564064264297,-117.7677710056305
-100.0,-600.0,-600.0,3812.108759701252,1435.7889833450317,1539.548440873623
-100.0,-135.0,-290.0,2516.5537029504776,1708.742133140564,1855.7851831316948
-78.30384755134583,-290.0,-100.0,3457.702141702175,2037.246572315693,2406.9168612957
-300.0,-600.0,-108.00848841667175,1750.8885616064072,-100.82673943042755,-115.22277098894119
-159.0,-200.0,-277.2056213617325,3345.4719845056534,2038.7416753172874,3031.6467198729515
-200.0,-600.0,-300.0,4567.525582849979,1899.1104467511177,3346.589373767376
-600.0,-100.0,-300.0,2880.4105701446533,-101.13793903589249,2675.379842340946
-521.5054893493652,-119.15773451328278,-146.97540748119354,4503.458062410355,2093.0776648521423,1912.797406554222
-100.0,-294.2056213617325,-140.0,4238.143992841244,1129.3734471797943,2422.8256497979164
-61.23157262802124,-112.0,-100.0,4244.767984867096,1594.7330767512321,1495.4648463726044
-100.0,-165.0,-340.0,4698.570388615131,1600.4307433962822,-110.30216872692108
-100.0,-365.0,-112.0,-114.5741930603981,-134.26844888925552,-126.28762513399124
-100.0,-600.0,-142.53238260746002,2131.394620358944,1672.939696073532,1834.8027431368828
-168.20562136173248,-108.00848841667175,-600.0,-127.25998067855835,2374.9611073732376,2723.0299545526505
-105.0,-290.0,-205.0,3689.8264672756195,-106.63428390026093,2863.046191573143
-120.0,-128.72302168607712,-510.0,2057.4327021837234,1953.3001366853714,1606.7723557949066
-100.0,-253.49700093269348,-600.0,3818.8799700140953,2135.429760158062,2746.4207435250282
-83.05111539363861,-333.00848841667175,-300.0,3879.819527745247,1216.8482265472412,2145.137565970421
-600.0,-510.0,-117.56281757354736,4246.768473863602,1544.0613268017769,2034.4796715378761
-100.0,-100.0,-100.0,3573.917117834091,-106.4664494395256,1668.0623279809952
-165.0,-165.0,-131.0,3810.5681617856026,1855.8049335479736,257.16408282518387
-100.0,-200.0,-600.0,4621.161486446857,2485.1469810009003,1887.8038066029549
-300.0,-129.0,-131.0,-130.40331262350082,1471.7989355325699,-101.97540748119354
-300.0,-600.0,-140.0,2598.116591513157,1724.8477976322174,2318.5938382148743
-100.0,-100.0,-100.0,3620.4550798535347,-100.15438520908356,2692.6553063988686
38.84228724241257,-553.4970009326935,-600.0,2649.5172752141953,1663.4570825695992,-117.32676124572754
-100.0,-150.0,-300.0,4421.331807434559,2188.3436588048935,3165.5315210819244
-600.0,-600.0,-300.0,1060.0201511383057,1710.9069156050682,-119.28422766923904
-100.0,-100.0,-300.0,3957.1022896766663,-131.23315739631653,2637.8365403413773
-100.0,-108.00848841667175,-297.6254291534424,2329.273575603962,903.9974254965782,2591.111153960228
-600.0,-553.4970009326935,-300.0,2174.293634057045,2030.396134853363,2146.265985786915
-111.07334554195404,-171.59223997592926,-537.2056213617325,4472.934156537056,2011.6647489666939,2237.791406929493
-300.0,-100.0,-633.0084884166718,4411.265720665455,-102.37933361530304,2366.3703545928
-133.00848841667175,-627.0,-305.0685815811157,3705.280686855316,-164.2972233891487,1471.1756773591042
-100.0,-151.0,-600.0,3152.307023525238,1085.049584388733,1914.4177590608597
-145.0,-145.0,-140.0,3473.3252974152565,2337.279132306576,2391.0963007211685
-100.0,-600.0,-357.0,4475.359907150269,1445.5945516228676,-106.61682230234146
-100.0,-224.8127145767212,-100.0,2596.48089659214,1170.531296491623,1980.79215580225
-100.0,-242.50548934936523,-120.0,4775.174181163311,-100.71286153793335,2114.6253567934036
-100.0,-600.0,-117.0,4299.718917787075,1410.6951768398285,2243.033124923706
-327.0,-100.0,-135.0,3593.6734733581543,1801.2834883332253,-109.0
-600.0,-600.0,-133.61432373523712,2741.157358944416,2356.0254822969437,2562.1409071683884
-310.4970009326935,-200.0,-100.0,3763.9885492920876,1842.814428448677,2187.1087683439255
-121.50548934936523,-600.0,-100.0,3522.7495128512383,1323.8778890371323,2093.742888569832
-100.0,-333.00848841667175,-165.0,-101.098100066185,1590.7847827672958,2188.2095714211464
-345.0,-600.0,-521.5054893493652,-172.41154968738556,1573.7389224767685,2518.958419263363
-365.00848841667175,-600.0,-127.20562136173248,3913.427579522133,-131.6454468369484,-110.30216872692108
-100.0,-300.0,-106.09393548965454,4360.282959461212,1018.4670165777206,2795.087060689926
-186.35670387744904,-600.0,-100.0,2512.0190235972404,1756.4889216423035,2191.916298508644
-300.0,-144.70726311206818,-186.0,3874.887380361557,1532.9482418298721,2632.897859275341
-100.0,-165.0,-164.00848841667175,3597.9782842993736,-118.52035695314407,2792.25021058321
-100.0,-600.0,-143.66030633449554,3700.6911519765854,-122.81760203838348,2041.0111154913902
-77.80882114171982,-100.0,-175.7260547876358,1477.7174282073975,1745.2361174225807,2188.920042991638
-176.69877469539642,-132.0,-566.6578195095062,3107.0028532147408,1713.6759873628616,2573.731244444847
-79.1023313999176,-100.0,-155.0,3441.488897025585,1909.4996038675308,2078.417323887348
-115.0,-600.0,-600.0,2730.5445061922073,1772.5608843564987,2756.760337114334
-531.073345541954,-600.0,-100.0,3818.7169796824455,1266.3684237003326,2166.8125444054604
-100.0,-128.00848841667175,-633.0084884166718,4435.986456334591,2265.952536404133,2363.8946885466576
-100.0,-200.0,-133.00848841667175,4178.671650290489,1177.3755138516426,2999.550249159336
-100.0,-300.0,-365.0,3209.709889471531,2126.1267560124397,2252.7340049743652
-665.0,-600.0,-600.0,2799.4487497210503,2144.4519560933113,-102.88992446660995
-120.0,-100.0,-115.0,3605.119977593422,1948.9987714886665,-101.97540748119354
-300.0,-103.0,-112.0,3722.556817114353,1755.3332086205482,1856.844751238823
-100.0,-505.0685815811157,-322.8127145767212,4843.667789101601,1621.3098018169403,1742.7534707784653
-100.0,-537.2056213617325,-200.0,3313.2875393033028,953.438500225544,2019.842333972454
-100.0,-360.0,-100.0,4039.3073560595512,1409.4848808646202,1398.4240886569023
-100.0,-200.0,-300.0,2761.578473031521,2671.8424684405327,1421.5041262507439
-537.2056213617325,-600.0,-100.0,1467.4480715990067,-104.43176692724228,-109.0
-107.03886836767197,-130.00848841667175,-131.0,3623.1244091391563,1766.1082882881165,2193.5018231868744
-290.0,-600.0,-135.0,2837.647349715233,-109.05768007040024,-109.0
-95.24110418558121,-200.0,-100.0,2504.966564834118,1917.8339738845825,-101.97540748119354
-300.0,-100.0,-300.0,2217.632729589939,877.8087553977966,2453.6798546910286
-100.0,-600.0,-600.0,3542.684772670269,1908.3987961411476,1736.6544246077538
-220.0,-140.0,-170.6357138156891,4707.846868515015,-105.02519828081131,-117.32676124572754
-100.0,-150.0,-521.5054893493652,4318.646902382374,-190.76036804914474,-101.97540748119354
-124.12243008613586,-300.0,-180.0,2931.876310944557,2025.2417286634445,-101.1023343205452
-300.0,-553.4970009326935,-165.0,3518.811986744404,-129.41524821519852,1815.116812646389
-100.0,-139.00848841667175,-600.0,2352.891335964203,1672.6259753108025,1617.029656946659
-261.5542423725128,-283.00848841667175,-205.0,2470.6467124819756,1718.7046008706093,-106.93816012144089
-100.0,-107.97540748119354,-150.97540748119354,3580.940547347069,1462.467105448246,1833.899071276188
-100.0,-120.0,-248.5630922317505,4662.054439783096,1824.8327102661133,1729.5226728320122
-365.0,-113.00848841667175,-140.0,3661.9092279076576,1503.9007398486137,2156.732064783573
-100.0,-600.0,-137.20562136173248,4249.420787096024,1276.229138314724,1802.2643930315971
-300.0,-295.56281757354736,-333.5630922317505,2955.876838326454,2379.868887066841,-109.0
-200.0,-227.06009316444397,-373.00848841667175,4655.519032895565,2093.1116517186165,-132.5968418121338
-100.0,-100.0,-600.0,4971.134963512421,2901.09686422348,2368.3845255970955
-100.0,-126.69877469539642,-100.0,2651.627536714077,2036.0506400465965,1730.6082927584648
-120.0,-600.0,-171.07334554195404,4413.966886520386,1947.7912040948868,1981.9710205197334
-158.49700093269348,-696.0,-100.0,2474.006842851639,-115.81671059131622,-109.0
-100.0,-340.0,-300.0,2948.629275918007,1288.2733814120293,-137.9280177950859
-300.0,-253.49700093269348,-388.00848841667175,-117.239033639431,2177.203741490841,1776.8834022283554
-100.0,-115.0,-300.0,4912.164408862591,2007.0747300386429,-101.30056816339493
-100.0,-300.0,-135.0,4192.579850196838,-133.2890944480896,-101.97540748119354
-115.75000941753387,-600.0,-100.0,4475.134826719761,1870.9611024856567,3108.5031154751778
-177.853462100029,-119.0,-610.5630922317505,2563.92748349905,2514.9798122644424,2652.4990150928497
-100.0,-135.66030633449554,-300.0,2616.707927942276,2079.1057988405228,1493.2187430858612
-77.69603681564331,-100.0,-110.0,2778.265412390232,1311.6782177686691,1693.623025238514
-315.0,-200.0,-100.0,3636.682885289192,-118.07255238294601,2236.538210630417
-100.0,-162.0,-100.0,2476.894287109375,2344.5702266693115,2298.616399228573
-100.0,-290.0,-165.0,-100.0818339586258,1999.322823703289,1542.5608763694763
-175.8834047317505,-250.10800617933273,-211.50548934936523,3758.5868415236473,1640.1562834978104,2124.156713783741
-100.0,-600.0,-100.0,-105.62057238817215,1378.5718476772308,3472.509294629097
-333.00848841667175,-100.0,-141.48089683055878,-109.30836093425751,1663.3261952400208,-114.79685288667679
-120.0,-125.49700093269348,-600.0,4360.001827597618,1185.9088916182518,2325.2553741931915
-100.0,-124.98749482631683,-211.50548934936523,4338.8843650221825,1862.9356090426445,2619.42108720541
-600.0,-200.0,-110.86635494232178,2904.1235814094543,1804.8295216560364,2338.553151369095
-100.0,-275.8460150361061,-600.0,3019.340189397335,1510.7535502910614,-110.19880938529968
-100.0,-300.0,-157.97643250226974,4081.303181707859,1222.9245599508286,1998.7343127131462
-227.853462100029,-162.0,-133.00848841667175,4472.043724834919,1506.6766743659973,-109.0
-100.0,-558.4970009326935,-117.20562136173248,3436.1219376325607,1541.1131196022034,2434.8445562124252
-300.0,-600.0,-307.83105051517487,-103.50460183620453,1756.064868927002,2039.615297794342
